anon_id,overall,environment,feedback,async,opportunities,sensitiviy
3272,4,3,2,2,4,3
868,4,4,5,5,5,1
4373,4,2,5,3,4,1
1603,2,5,1,1,1,5
2379,3,3,4,1,5,5
611,5,1,3,4,5,3
3687,5,2,2,4,3,2
3139,5,4,5,5,1,5
646,5,1,1,1,3,4
4095,2,3,2,4,3,2
2650,1,3,1,1,2,3
3014,3,1,2,1,2,3
1190,1,5,3,5,4,2
4142,3,3,4,1,1,4
718,5,1,5,2,2,1
1316,3,3,4,4,2,5
1676,2,2,2,4,2,4
2566,3,3,5,2,1,5
697,4,2,5,3,4,4
4311,3,4,4,5,3,2
1337,2,3,5,3,1,1
3732,1,4,4,5,3,3
1916,3,2,1,1,4,5
582,5,4,5,4,4,4
116,3,3,5,3,1,5
4312,2,1,3,5,3,1
700,5,5,4,1,5,3
110,4,2,3,5,1,5
3044,1,3,5,2,4,1
856,5,2,4,4,4,3
3597,4,1,2,3,3,4
593,4,4,3,2,2,5
112,2,1,5,1,2,5
2411,1,2,1,3,3,1
4048,2,4,4,1,3,4
311,5,1,1,4,4,4
32,4,3,3,2,1,3
2394,2,1,1,3,5,1
4431,4,2,1,2,5,4
23,3,3,5,3,1,4
2105,1,5,5,4,3,2
2078,4,2,1,4,2,1
2684,5,1,3,3,5,1
1650,2,4,5,4,3,1
4666,3,4,5,2,3,4
2323,3,4,1,4,5,3
1703,2,3,5,5,2,2
1530,3,5,2,3,4,1
924,2,1,4,4,5,5
1386,1,3,2,1,2,2
4213,2,2,5,5,5,3
2781,5,5,5,2,1,2
2607,5,1,5,3,4,4
1323,5,2,5,3,2,3
3030,5,3,1,2,3,4
1154,3,2,2,4,4,5
2345,5,3,1,3,5,3
2390,5,2,2,4,2,3
641,5,4,5,3,4,2
2353,2,5,2,3,2,4
1478,2,1,1,4,2,2
2228,4,5,5,5,2,5
1170,1,3,1,2,1,2
3955,2,3,1,3,4,2
1273,4,1,3,3,5,5
3806,3,3,3,2,5,2
1942,1,1,2,1,2,2
601,3,3,5,1,3,1
3908,2,2,1,4,1,2
502,4,3,2,4,4,2
4776,5,3,3,2,4,3
4028,5,2,1,3,5,3
4096,1,4,2,1,1,5
2727,4,2,4,1,1,1
614,5,4,4,2,4,5
429,5,4,4,2,1,4
2747,2,2,3,1,5,4
2817,1,5,2,5,4,2
983,2,3,1,2,4,4
2867,2,2,2,2,2,1
4116,5,4,1,4,3,1
239,3,1,1,1,4,5
2578,1,1,5,3,1,5
4335,2,2,3,3,2,2
4528,4,4,4,2,3,2
668,4,3,1,2,2,5
3085,2,5,1,3,2,5
978,2,4,3,4,5,4
1055,1,5,5,2,2,2
754,5,1,4,2,3,2
2412,4,3,1,3,3,3
1145,4,3,1,4,5,4
859,5,3,1,1,2,4
1637,2,4,5,3,2,4
4745,1,2,5,5,2,1
3942,4,1,2,4,2,5
3115,1,3,3,5,4,4
2217,1,3,4,5,1,4
1743,3,1,1,1,2,3
4323,1,2,2,5,2,2
1133,5,3,4,4,3,4
643,5,4,1,3,1,1
96,5,2,1,5,2,2
4453,4,3,4,4,2,2
2850,3,1,5,4,5,3
3334,5,4,3,5,4,3
1699,1,1,4,2,4,3
1553,3,2,2,4,2,4
1487,4,4,5,4,5,3
3231,4,5,2,1,4,4
4569,5,5,2,5,3,5
1054,5,1,5,2,2,3
873,4,1,2,4,2,4
2550,5,1,3,1,4,5
831,2,1,5,3,4,4
123,1,3,2,1,1,1
165,5,5,3,1,5,4
1107,1,2,5,1,4,4
3876,1,4,4,5,1,2
3343,4,3,5,3,1,2
2162,2,2,3,3,1,1
1931,4,2,2,2,3,1
1673,3,3,5,1,2,4
1538,2,3,3,3,4,1
2786,3,5,3,4,5,1
2825,3,4,3,1,5,2
3297,3,1,3,5,2,3
369,3,5,5,3,5,4
162,4,3,4,2,1,2
4136,4,3,2,2,3,5
2386,4,4,1,5,5,5
2081,5,1,1,5,5,3
1449,3,4,5,4,1,3
3367,5,3,1,2,1,5
1130,5,5,4,4,1,3
3431,4,5,4,1,5,5
2731,5,1,3,2,5,1
2938,4,3,2,3,2,2
138,4,1,2,5,3,2
3550,1,3,3,3,5,1
4294,5,1,5,5,4,2
827,1,4,4,2,1,5
4777,4,1,2,1,1,2
2060,3,3,2,2,3,5
3976,4,2,4,4,2,3
2671,1,3,5,4,3,2
2765,3,3,2,4,5,5
2708,1,2,4,1,3,5
2203,2,2,1,1,5,2
990,1,2,4,2,1,2
2723,4,5,3,1,5,4
1578,2,5,3,2,2,2
4021,1,5,4,5,4,1
2208,2,5,1,1,5,4
1620,4,1,3,5,4,2
2342,5,2,1,1,4,5
4160,1,3,2,2,2,4
1832,1,5,2,1,1,1
4702,1,3,1,3,3,5
2618,4,5,1,2,3,5
2939,3,3,4,4,1,1
3863,5,1,5,1,1,3
3332,3,3,2,1,1,3
2514,5,5,2,2,1,4
2937,3,5,3,1,3,1
3797,5,1,2,2,4,3
4119,1,2,2,2,2,3
832,1,5,3,3,5,3
3209,4,1,5,2,4,4
4085,4,4,4,3,3,3
3473,4,1,1,3,4,5
812,5,3,3,3,5,4
542,5,2,4,2,2,2
2138,4,5,2,2,5,1
1932,2,5,3,5,1,2
3901,3,4,4,4,5,1
2280,1,5,4,2,4,3
1733,5,1,2,3,3,2
4410,2,4,5,4,5,5
4498,4,3,2,5,4,3
4067,4,2,3,5,3,1
1266,5,1,5,2,2,2
353,2,1,1,5,3,2
1186,5,4,5,3,5,4
418,3,4,1,3,3,1
3412,5,5,1,3,2,1
2253,4,3,3,5,1,2
441,5,5,4,3,2,1
3310,5,1,5,3,2,3
3994,2,4,1,5,2,1
1223,4,3,3,5,3,5
689,1,4,2,5,2,2
532,1,1,3,3,4,3
2979,1,2,3,1,2,4
2982,4,3,3,4,1,2
4463,2,4,3,1,5,3
851,3,3,4,4,3,2
412,1,1,5,3,3,3
3235,2,4,1,3,4,5
3416,5,4,3,1,2,5
3464,1,5,2,4,4,5
4583,3,2,2,3,2,5
2067,3,2,1,3,4,1
210,5,3,4,4,2,1
1444,3,5,1,4,2,4
1158,3,5,5,5,1,3
2722,1,1,3,4,1,5
2282,2,2,5,2,5,4
1079,1,1,3,5,5,3
3156,3,2,3,1,3,4
4724,5,1,3,3,3,1
2192,3,1,2,3,3,5
771,4,1,3,1,1,1
3371,4,5,3,2,4,2
3179,5,3,1,5,4,5
166,3,3,1,5,2,2
1239,3,3,3,5,1,4
3035,5,5,5,2,1,1
3409,1,3,3,2,4,3
3701,1,5,2,5,4,3
8,2,4,3,4,2,3
3187,5,4,5,5,3,5
4283,2,1,3,1,2,4
1791,5,2,5,3,2,1
3311,1,1,2,2,2,1
1017,4,3,2,4,3,5
3482,3,3,4,4,3,2
3439,4,3,5,1,3,1
628,1,3,3,3,2,5
2925,3,2,5,1,2,3
4059,1,1,1,2,1,4
975,2,3,5,4,2,4
461,4,4,3,1,2,1
2118,2,5,1,5,5,3
1339,4,4,2,4,4,2
151,3,5,2,5,4,2
3033,4,2,5,4,4,4
3939,1,2,4,5,1,5
1437,3,4,4,4,5,2
2890,1,2,5,1,5,5
3555,3,4,5,5,4,5
1788,2,4,5,2,1,5
580,3,4,2,3,2,1
2473,2,1,4,1,2,1
3181,4,4,3,2,1,1
4107,5,1,2,1,5,4
4795,1,1,4,2,2,5
2571,5,3,3,1,2,3
1679,5,5,3,4,4,3
26,3,2,3,4,3,2
72,5,4,3,1,3,1
2056,5,4,3,1,2,3
4625,3,2,1,5,5,1
613,2,1,5,2,1,5
4735,4,2,5,4,3,1
3921,5,4,5,2,2,1
4397,1,2,5,3,4,5
1295,3,4,2,1,3,4
4561,2,2,4,3,2,5
1614,4,4,4,5,2,5
4392,1,4,1,1,4,3
512,5,1,3,5,4,1
1680,4,3,5,1,4,5
2074,1,1,1,4,4,1
2195,4,4,5,5,5,4
1685,3,3,3,5,2,4
4287,3,5,2,3,2,1
3492,1,1,2,1,1,3
4767,4,4,3,1,1,2
997,1,2,5,4,4,2
3526,5,1,3,3,1,4
4760,3,4,5,2,3,2
3710,1,1,3,3,1,5
2665,5,3,2,4,1,2
991,4,4,1,2,4,3
4297,1,4,3,5,1,1
3321,2,2,1,2,2,5
1287,5,3,3,4,4,5
4027,2,4,5,3,3,3
2010,1,4,2,4,5,5
3097,4,4,2,4,2,5
2222,1,5,1,2,1,3
4152,5,1,3,5,4,3
1856,3,5,5,4,2,5
3048,2,1,2,2,4,1
4678,5,1,3,2,4,2
1626,2,1,3,2,4,5
1957,1,5,3,2,1,1
1809,1,3,2,1,4,2
4262,5,4,1,4,2,1
4727,1,1,2,4,2,4
793,1,1,4,5,4,3
4803,2,5,2,1,1,2
1012,4,4,4,1,1,3
2924,2,3,4,1,2,5
1305,5,1,5,3,5,5
4505,2,3,3,2,2,1
1497,4,4,2,2,2,2
130,3,3,4,4,2,2
4578,5,2,4,1,1,5
2779,1,2,2,4,5,1
3631,1,4,2,4,3,1
1193,4,4,1,5,4,5
4170,2,3,2,5,2,3
4042,4,2,3,2,5,5
1953,2,2,1,5,5,3
3178,2,5,1,4,3,4
1747,5,2,2,2,1,3
4407,3,1,5,1,5,1
3384,2,4,4,3,4,1
1690,2,1,5,3,4,4
4009,2,3,5,5,2,2
4,1,5,3,4,3,3
1850,4,2,4,4,5,4
4289,5,3,2,2,1,4
2852,3,1,5,2,4,1
4054,3,3,3,3,1,5
2773,4,4,1,3,1,5
1971,2,5,5,3,3,3
1970,3,2,3,1,2,3
3134,1,3,5,2,2,2
501,5,3,4,2,2,4
1314,2,1,5,3,1,2
1825,2,1,2,1,5,4
2524,3,4,5,1,4,4
2152,4,3,1,2,4,1
4763,3,4,1,4,1,1
4314,4,4,2,2,3,4
1477,1,2,1,3,1,2
3818,3,3,2,5,5,5
3552,2,3,1,4,5,4
1230,4,4,4,4,3,2
3889,2,1,1,4,5,2
1549,2,1,5,3,1,2
1682,4,1,2,2,4,5
2589,5,2,1,2,1,2
1700,1,3,2,1,3,4
4626,2,3,1,5,4,1
2024,4,2,2,2,4,4
1785,5,1,2,5,3,5
2251,3,4,3,3,2,4
944,5,2,2,1,2,3
484,2,5,4,2,2,5
3411,2,2,2,4,2,5
4483,5,4,3,3,5,4
2018,2,5,1,5,1,5
1194,5,3,3,1,4,1
1572,4,3,5,5,3,2
4423,1,2,4,4,4,3
3337,5,4,3,1,3,1
1925,5,2,4,2,1,5
58,4,3,1,3,3,5
1883,1,5,4,4,5,5
4228,5,2,4,2,5,3
1291,5,3,4,2,4,4
1979,4,1,2,2,2,4
965,4,4,1,3,3,4
2131,5,1,5,2,4,5
1139,3,4,1,5,2,2
178,2,4,4,4,4,2
4374,5,2,2,5,5,5
10,3,2,2,1,2,3
2227,2,4,3,4,2,2
1211,3,2,3,4,3,4
4629,5,4,5,2,2,5
1240,2,2,2,2,4,1
1090,5,3,3,3,1,2
4710,3,2,5,2,5,5
3287,3,5,3,3,2,5
2579,4,1,5,3,5,2
1134,1,2,5,4,2,5
1088,1,1,5,1,1,1
4535,5,3,5,1,5,3
1583,4,5,3,5,4,1
2506,2,1,3,5,5,1
2463,3,3,4,1,1,1
4140,5,5,4,3,3,5
1624,3,4,3,1,5,5
3306,3,5,3,5,1,5
4197,5,5,2,3,5,4
3709,4,2,3,1,2,5
2595,3,3,5,1,4,5
232,5,5,5,2,5,3
1745,2,5,1,3,1,4
3534,1,4,4,2,4,3
1697,3,4,1,3,1,2
2559,2,1,1,5,3,5
4364,1,3,3,2,1,3
2137,1,3,3,5,3,1
1508,2,3,4,3,2,5
469,5,1,2,2,4,5
1026,2,2,1,2,2,5
2329,2,3,1,4,1,4
684,2,1,5,4,5,4
3142,2,5,5,5,4,5
1268,1,4,1,2,1,5
4318,4,1,3,3,3,4
245,3,5,5,4,2,3
4251,4,5,5,2,3,4
2454,4,3,5,2,4,1
888,3,4,4,3,4,5
1103,2,3,2,3,3,5
3722,1,1,5,3,3,1
546,1,1,4,1,1,5
1294,3,1,3,3,5,5
3043,4,5,4,1,2,3
1799,2,2,3,5,3,3
2066,5,4,2,5,3,5
953,3,1,4,3,5,5
2055,4,2,1,1,5,3
1706,2,5,1,1,5,3
1471,2,5,4,2,2,4
857,1,3,5,3,2,4
2187,1,4,1,3,4,1
1469,4,1,5,3,4,4
2193,2,3,4,5,5,5
4385,1,1,5,3,4,1
3364,3,5,4,5,4,1
1613,1,1,2,4,5,1
2383,4,3,1,2,2,2
3583,4,5,2,4,3,4
966,4,3,3,4,5,4
289,5,2,4,2,1,5
3755,5,1,2,2,4,3
307,2,3,1,2,3,5
2004,3,3,2,1,5,1
2975,4,5,2,1,1,3
1493,1,4,1,4,2,2
2556,3,3,1,2,4,2
231,4,1,4,4,3,2
839,1,4,1,4,5,2
2480,5,4,4,3,5,1
2371,1,1,5,5,1,5
2047,3,3,3,4,1,1
2801,3,3,5,1,2,2
3584,2,1,1,4,1,4
1383,3,1,3,3,2,1
3080,4,3,2,4,3,3
327,3,3,2,5,3,1
1919,4,4,4,1,4,4
4280,3,4,5,5,5,1
3696,4,3,3,3,1,5
2375,1,2,4,2,5,4
2704,5,1,4,3,3,2
2981,1,4,5,4,1,5
4439,2,5,5,4,5,4
308,4,4,1,1,4,2
2291,3,2,1,3,1,5
4325,3,1,4,4,1,2
2431,2,3,5,2,1,1
1284,5,4,5,1,3,3
2792,4,4,2,3,5,3
3608,4,2,5,5,4,5
4774,1,1,1,3,2,2
3698,5,5,5,2,3,4
4510,5,2,3,4,5,4
4412,3,1,4,3,5,1
3627,3,4,5,2,5,4
4729,2,2,4,3,3,1
161,3,5,5,2,2,5
4370,3,5,4,5,2,1
3006,1,1,2,5,5,5
4044,5,1,3,1,1,5
4568,5,2,1,5,4,5
480,4,4,4,1,1,1
3083,1,4,4,2,5,4
4421,5,3,4,1,4,1
917,4,4,5,2,3,2
277,3,1,4,3,5,1
4302,4,3,1,5,3,5
4524,1,4,1,5,4,2
4319,5,5,2,5,4,4
4201,4,1,2,1,2,5
918,5,1,2,1,4,1
3326,2,1,1,4,5,4
1002,1,2,5,1,3,5
1507,5,2,1,2,2,5
4195,5,4,5,5,4,4
258,4,4,3,1,3,5
2279,2,2,5,5,2,5
1292,2,1,1,2,1,5
2800,3,1,1,5,1,1
878,3,5,3,3,1,4
2986,4,5,5,2,5,2
3864,5,1,3,2,3,4
1031,4,2,3,3,2,4
3840,5,2,2,1,3,2
1997,1,4,2,3,2,4
2590,4,3,4,1,3,5
2822,5,3,1,3,3,3
3495,1,5,5,2,1,4
3923,2,2,2,4,3,3
282,2,3,2,2,2,2
144,3,1,1,1,4,4
2005,5,1,5,1,2,2
3268,1,1,2,5,2,1
3628,3,2,3,4,3,4
1272,5,3,3,3,1,2
2753,2,1,2,1,3,4
46,2,5,4,3,1,5
3601,5,5,4,1,1,3
3137,2,2,5,1,1,2
1401,2,3,2,2,3,4
1393,5,3,3,2,2,3
624,3,2,4,2,2,4
2117,1,2,3,2,3,3
106,4,1,4,1,1,5
3975,3,1,1,2,5,1
124,3,1,4,3,2,1
699,4,5,5,4,5,3
3066,3,3,1,3,4,4
1161,4,5,4,4,4,2
3170,1,4,1,2,2,3
1057,2,1,4,5,4,2
1140,4,2,4,1,4,4
4716,2,2,2,3,1,3
3734,2,5,5,5,5,3
598,2,1,5,2,1,2
2637,5,4,2,4,5,1
2313,4,1,4,4,5,5
3090,1,1,1,5,4,4
3953,2,5,5,3,3,1
971,2,1,5,4,5,2
667,1,2,1,1,3,2
3835,4,5,2,5,3,2
4112,3,2,1,1,3,5
4438,5,4,4,3,3,5
1498,3,3,5,1,3,2
2307,5,5,5,1,4,4
2372,2,4,3,4,2,2
2513,3,5,1,2,3,1
2265,5,5,1,4,3,1
758,2,4,4,5,5,2
4668,1,3,1,3,2,5
2828,2,2,3,2,1,3
4401,4,3,4,1,2,5
1834,4,2,3,1,4,1
2238,3,5,5,5,3,3
4487,5,5,5,3,3,3
3539,5,5,4,5,1,5
4748,4,5,5,2,2,3
2002,1,5,5,1,3,3
3095,1,1,3,4,4,5
1754,1,2,3,1,5,3
3219,2,3,3,1,2,2
331,5,2,1,4,4,5
3114,4,5,3,3,2,3
1873,1,5,2,1,2,4
270,4,4,4,1,3,4
2921,3,5,5,5,1,2
854,3,5,5,4,4,1
897,5,5,3,1,5,3
4628,4,5,2,1,4,3
3506,1,3,2,1,1,4
3070,5,4,1,5,3,3
3947,2,4,1,1,1,1
2030,3,3,3,4,3,5
3463,3,2,1,1,1,1
2034,5,4,5,5,1,1
3251,3,3,1,4,2,3
2129,1,1,2,2,5,4
1722,4,2,3,1,5,2
3576,3,5,5,3,1,2
2206,4,1,1,5,5,1
1352,3,2,1,1,2,5
899,3,2,4,3,5,2
3537,1,4,5,5,5,1
4053,2,2,2,2,1,4
852,3,5,1,1,4,2
1382,4,2,3,2,2,2
2294,3,1,2,1,4,3
2489,4,1,4,1,5,3
3494,4,2,5,4,5,4
2306,5,3,2,1,5,4
2346,5,1,2,1,5,2
2653,3,2,3,3,4,5
1322,2,2,5,5,1,5
1752,5,4,5,3,5,2
269,4,3,1,3,3,2
3206,5,3,5,3,1,1
722,5,1,5,3,3,5
1595,4,1,2,3,2,5
3693,1,4,5,5,1,4
2226,5,5,2,5,4,2
467,1,4,4,1,4,3
1356,3,5,4,3,1,3
4329,2,2,5,1,1,3
3979,3,5,5,1,3,4
247,2,5,1,3,4,2
2116,4,5,4,1,5,4
632,3,1,3,4,1,2
1956,2,4,5,3,3,4
4000,1,4,2,3,5,3
4336,3,2,3,4,1,4
1226,3,4,1,4,4,4
1570,3,4,2,5,1,5
2466,1,1,4,5,3,1
3267,1,5,2,5,3,3
711,4,5,2,1,3,2
3032,5,5,1,1,5,2
3963,2,1,1,2,2,1
2142,4,4,5,2,1,3
1894,3,4,4,5,5,4
4121,2,4,1,4,5,5
3002,3,2,1,1,1,4
549,3,5,5,2,4,4
2733,2,5,5,3,4,1
4322,3,5,2,1,2,1
3246,4,4,2,5,5,1
2818,3,3,3,1,3,1
172,5,4,3,3,2,4
2312,4,4,2,5,3,4
2041,1,3,4,2,4,3
458,3,3,2,3,1,3
4403,1,1,1,2,3,2
3429,4,2,5,3,5,4
483,1,3,4,5,1,1
2452,4,2,3,4,3,3
539,5,1,4,2,3,5
1440,2,4,3,5,2,3
1348,1,5,2,5,5,1
4786,4,3,4,2,5,3
2520,2,2,4,4,5,5
2161,4,4,3,3,1,4
1326,3,4,3,1,2,4
2880,4,1,1,1,5,4
3603,4,3,2,2,2,2
1013,1,1,5,1,3,2
1769,3,5,3,1,3,5
1363,3,1,2,1,1,4
2993,5,2,3,5,1,3
4696,5,2,3,1,4,4
3237,2,1,4,5,2,1
1596,2,2,3,3,5,1
1575,2,2,3,4,2,2
2344,5,1,5,4,4,1
4092,2,5,3,1,1,3
3933,4,4,1,2,2,1
4400,4,1,1,1,3,5
2720,2,2,4,3,4,3
24,3,3,1,3,3,2
3969,3,3,2,5,4,1
74,2,4,4,5,5,3
2127,2,2,1,3,3,1
3512,5,5,4,3,2,2
672,2,5,1,5,2,3
2558,3,2,5,5,5,3
284,5,5,5,5,4,1
1999,3,4,5,4,2,2
4594,1,4,4,5,3,3
2526,5,4,5,3,3,5
387,4,2,2,4,2,5
2892,1,2,5,4,1,2
2026,2,2,2,4,4,3
2472,4,2,1,4,5,2
3067,4,4,3,1,2,2
3812,1,2,5,4,5,3
2561,4,5,3,1,1,2
2249,5,5,3,5,3,5
655,5,2,1,3,3,5
1734,2,3,1,3,4,4
3884,2,2,2,5,5,4
3247,5,5,2,4,3,1
3135,2,2,2,3,4,1
2232,3,4,4,1,3,2
2230,5,5,1,5,4,3
2298,5,1,5,3,4,2
4785,2,4,2,2,2,1
1541,5,2,3,5,5,3
4526,3,4,4,5,5,2
2467,4,1,1,5,3,3
4040,3,5,3,4,3,1
4580,5,4,5,3,4,1
3535,1,2,4,2,3,2
573,4,2,3,2,1,3
3743,5,3,1,5,5,1
567,2,1,1,4,3,2
698,3,4,5,3,3,3
4227,3,1,1,5,2,1
3930,5,3,4,5,1,3
463,5,2,3,5,3,2
1771,5,4,5,1,3,2
979,1,5,2,3,5,1
3729,5,1,2,4,4,5
3959,5,4,1,1,1,3
1000,3,2,2,2,4,1
2957,2,5,1,5,1,5
3783,2,1,2,3,5,1
257,1,1,3,3,3,5
1290,1,2,1,5,4,5
2990,1,3,5,4,5,3
3529,5,4,3,3,1,2
4586,3,1,1,4,4,4
196,2,3,3,3,3,5
2426,5,5,5,4,5,3
223,4,4,5,4,4,3
4226,2,3,4,1,4,1
1772,2,4,1,1,1,5
2159,3,1,5,5,5,4
813,2,4,5,5,3,5
964,4,5,2,3,1,2
2409,1,1,1,5,3,1
850,2,2,5,1,5,2
1512,4,3,1,2,1,2
4171,1,4,5,4,5,2
3329,3,5,1,1,5,5
4309,3,5,2,5,4,5
4686,3,2,2,1,5,3
4382,1,1,2,3,5,1
443,4,3,4,2,3,2
3152,2,1,5,5,3,5
4596,3,3,3,1,3,2
4691,5,4,5,4,5,4
2564,1,2,2,3,5,2
3092,5,3,3,5,5,3
2283,2,4,4,5,4,1
572,5,4,1,3,1,4
2008,2,1,1,2,5,1
4159,2,5,5,5,3,1
213,3,3,3,5,1,5
1116,1,4,1,5,4,4
2328,3,4,3,4,3,5
1015,2,3,1,1,2,1
4532,3,4,4,5,3,4
4012,5,5,1,4,3,4
1376,4,1,2,3,5,4
2224,3,4,1,2,5,4
1515,2,3,2,5,2,5
3795,5,5,2,3,3,4
935,5,1,5,5,4,1
2529,5,1,4,1,4,4
1633,3,1,4,1,5,2
729,3,5,3,4,5,3
2608,1,4,4,3,3,3
3993,3,2,3,1,2,5
2309,4,4,1,1,4,4
261,3,2,5,4,4,4
1104,5,3,3,1,1,2
1705,4,1,4,4,1,3
2656,4,3,2,4,1,2
3530,1,4,5,4,3,5
1413,5,1,5,5,3,4
2919,2,1,1,2,1,2
2740,2,4,1,1,1,5
4719,1,5,1,3,3,2
3136,5,4,2,2,1,5
560,1,4,5,4,3,4
3059,2,3,4,2,5,4
1142,5,2,3,4,4,3
3444,5,1,5,5,1,3
2429,5,2,1,3,2,1
3313,3,3,2,4,5,5
973,2,1,4,4,5,3
3581,4,1,3,5,1,2
1457,2,2,5,3,3,1
2132,1,4,4,4,3,1
212,4,3,1,3,4,2
3503,1,2,1,5,4,2
4649,4,4,2,3,4,4
444,5,3,3,5,2,2
4634,4,4,5,5,4,3
3869,4,2,2,4,2,1
2389,2,5,4,1,2,3
1764,5,3,2,2,2,2
3377,3,5,5,1,2,5
224,2,1,4,1,5,3
179,2,5,5,3,4,4
2337,2,5,4,3,1,5
589,4,4,2,4,2,3
2555,2,4,4,4,1,5
375,3,4,2,4,5,1
645,3,1,1,2,5,5
1632,5,1,4,2,3,4
1435,2,1,3,1,4,4
2436,5,3,2,2,5,1
4599,4,5,2,4,4,4
2557,3,5,4,3,2,5
3968,1,2,2,5,5,4
1560,2,2,4,3,3,5
4778,5,3,5,5,1,2
3970,5,3,1,5,5,1
4732,3,3,3,3,2,1
159,3,3,3,4,1,1
1644,1,4,1,5,5,5
4529,4,1,1,3,4,1
4190,1,3,3,2,4,3
1817,3,4,4,2,1,2
2875,5,2,3,1,5,1
791,1,3,3,4,2,2
4558,2,3,3,2,1,4
2570,4,3,1,4,3,3
3652,1,3,2,5,4,1
433,4,3,5,1,3,3
1853,5,4,1,5,5,2
1684,2,4,1,3,5,4
3857,1,5,2,2,2,1
3397,3,5,5,5,2,5
1782,3,3,2,4,2,1
2133,3,5,3,5,3,3
3788,1,1,1,4,1,2
2128,4,4,4,4,4,3
1714,3,1,5,5,1,2
43,1,3,3,5,5,1
3255,4,2,4,1,3,2
929,5,2,3,2,4,2
1132,5,5,3,2,1,1
3440,4,3,3,4,5,3
219,1,3,3,2,2,2
4789,5,1,5,2,5,1
1681,5,3,2,3,3,5
378,5,3,1,3,4,5
3421,3,5,1,2,2,3
3331,2,2,4,4,2,4
48,3,2,1,1,3,2
2446,4,5,2,1,4,5
1865,4,3,3,2,4,1
957,5,3,4,4,2,5
2856,2,2,4,5,5,5
3138,1,3,2,1,2,4
3749,5,3,2,5,3,4
4728,2,4,1,5,1,4
3051,5,4,3,5,1,4
1729,2,5,3,4,2,2
2693,3,4,3,4,3,4
1241,2,1,4,3,5,4
1943,5,3,5,2,4,5
2859,1,2,2,1,5,2
2814,3,1,4,4,2,2
2223,1,1,4,5,2,3
915,5,4,5,5,5,4
4507,3,3,5,3,2,2
1860,5,4,5,5,5,4
4216,2,1,4,2,3,2
2106,5,2,5,5,4,2
493,5,2,5,1,5,4
4114,2,2,5,3,1,3
